emoji-data.txt:1F6F7..1F6F8  ; Emoji                # 10.0  [2] (🛷..🛸)    sled..flying saucer
emoji-data.txt:1F91F         ; Emoji                # 10.0  [1] (🤟)       love-you gesture
emoji-data.txt:1F928..1F92F  ; Emoji                # 10.0  [8] (🤨..🤯)    face with raised eyebrow..exploding head
emoji-data.txt:1F931..1F932  ; Emoji                # 10.0  [2] (🤱..🤲)    breast-feeding..palms up together
emoji-data.txt:1F94C         ; Emoji                # 10.0  [1] (🥌)       curling stone
emoji-data.txt:1F95F..1F96B  ; Emoji                # 10.0 [13] (🥟..🥫)    dumpling..canned food
emoji-data.txt:1F992..1F997  ; Emoji                # 10.0  [6] (🦒..🦗)    giraffe..cricket
emoji-data.txt:1F9D0..1F9E6  ; Emoji                # 10.0 [23] (🧐..🧦)    face with monocle..socks
emoji-data.txt:1F6F7..1F6F8  ; Emoji_Presentation   # 10.0  [2] (🛷..🛸)    sled..flying saucer
emoji-data.txt:1F91F         ; Emoji_Presentation   # 10.0  [1] (🤟)       love-you gesture
emoji-data.txt:1F928..1F92F  ; Emoji_Presentation   # 10.0  [8] (🤨..🤯)    face with raised eyebrow..exploding head
emoji-data.txt:1F931..1F932  ; Emoji_Presentation   # 10.0  [2] (🤱..🤲)    breast-feeding..palms up together
emoji-data.txt:1F94C         ; Emoji_Presentation   # 10.0  [1] (🥌)       curling stone
emoji-data.txt:1F95F..1F96B  ; Emoji_Presentation   # 10.0 [13] (🥟..🥫)    dumpling..canned food
emoji-data.txt:1F992..1F997  ; Emoji_Presentation   # 10.0  [6] (🦒..🦗)    giraffe..cricket
emoji-data.txt:1F9D0..1F9E6  ; Emoji_Presentation   # 10.0 [23] (🧐..🧦)    face with monocle..socks
emoji-data.txt:1F91F         ; Emoji_Modifier_Base  # 10.0  [1] (🤟)       love-you gesture
emoji-data.txt:1F931..1F932  ; Emoji_Modifier_Base  # 10.0  [2] (🤱..🤲)    breast-feeding..palms up together
emoji-data.txt:1F9D1..1F9DD  ; Emoji_Modifier_Base  # 10.0 [13] (🧑..🧝)    adult..elf
emoji-sequences.txt:1F9D6 1F3FD   ; Emoji_Modifier_Sequence   ; person in steamy room: medium skin tone                        # 10.0  [1] (🧖🏽)
emoji-sequences.txt:1F9D6 1F3FE   ; Emoji_Modifier_Sequence   ; person in steamy room: medium-dark skin tone                   # 10.0  [1] (🧖🏾)
emoji-sequences.txt:1F9D6 1F3FF   ; Emoji_Modifier_Sequence   ; person in steamy room: dark skin tone                          # 10.0  [1] (🧖🏿)
emoji-sequences.txt:1F9D7 1F3FB   ; Emoji_Modifier_Sequence   ; person climbing: light skin tone                               # 10.0  [1] (🧗🏻)
emoji-sequences.txt:1F9D7 1F3FC   ; Emoji_Modifier_Sequence   ; person climbing: medium-light skin tone                        # 10.0  [1] (🧗🏼)
emoji-sequences.txt:1F9D7 1F3FD   ; Emoji_Modifier_Sequence   ; person climbing: medium skin tone                              # 10.0  [1] (🧗🏽)
emoji-sequences.txt:1F9D7 1F3FE   ; Emoji_Modifier_Sequence   ; person climbing: medium-dark skin tone                         # 10.0  [1] (🧗🏾)
emoji-sequences.txt:1F9D7 1F3FF   ; Emoji_Modifier_Sequence   ; person climbing: dark skin tone                                # 10.0  [1] (🧗🏿)
emoji-sequences.txt:1F9D8 1F3FB   ; Emoji_Modifier_Sequence   ; person in lotus position: light skin tone                      # 10.0  [1] (🧘🏻)
emoji-sequences.txt:1F9D8 1F3FC   ; Emoji_Modifier_Sequence   ; person in lotus position: medium-light skin tone               # 10.0  [1] (🧘🏼)
emoji-sequences.txt:1F9D8 1F3FD   ; Emoji_Modifier_Sequence   ; person in lotus position: medium skin tone                     # 10.0  [1] (🧘🏽)
emoji-sequences.txt:1F9D8 1F3FE   ; Emoji_Modifier_Sequence   ; person in lotus position: medium-dark skin tone                # 10.0  [1] (🧘🏾)
emoji-sequences.txt:1F9D8 1F3FF   ; Emoji_Modifier_Sequence   ; person in lotus position: dark skin tone                       # 10.0  [1] (🧘🏿)
emoji-sequences.txt:1F9D9 1F3FB   ; Emoji_Modifier_Sequence   ; mage: light skin tone                                          # 10.0  [1] (🧙🏻)
emoji-sequences.txt:1F9D9 1F3FC   ; Emoji_Modifier_Sequence   ; mage: medium-light skin tone                                   # 10.0  [1] (🧙🏼)
emoji-sequences.txt:1F9D9 1F3FD   ; Emoji_Modifier_Sequence   ; mage: medium skin tone                                         # 10.0  [1] (🧙🏽)
emoji-sequences.txt:1F9D9 1F3FE   ; Emoji_Modifier_Sequence   ; mage: medium-dark skin tone                                    # 10.0  [1] (🧙🏾)
emoji-sequences.txt:1F9D9 1F3FF   ; Emoji_Modifier_Sequence   ; mage: dark skin tone                                           # 10.0  [1] (🧙🏿)
emoji-sequences.txt:1F9DA 1F3FB   ; Emoji_Modifier_Sequence   ; fairy: light skin tone                                         # 10.0  [1] (🧚🏻)
emoji-sequences.txt:1F9DA 1F3FC   ; Emoji_Modifier_Sequence   ; fairy: medium-light skin tone                                  # 10.0  [1] (🧚🏼)
emoji-sequences.txt:1F9DA 1F3FD   ; Emoji_Modifier_Sequence   ; fairy: medium skin tone                                        # 10.0  [1] (🧚🏽)
emoji-sequences.txt:1F9DA 1F3FE   ; Emoji_Modifier_Sequence   ; fairy: medium-dark skin tone                                   # 10.0  [1] (🧚🏾)
emoji-sequences.txt:1F9DA 1F3FF   ; Emoji_Modifier_Sequence   ; fairy: dark skin tone                                          # 10.0  [1] (🧚🏿)
emoji-sequences.txt:1F9DB 1F3FB   ; Emoji_Modifier_Sequence   ; vampire: light skin tone                                       # 10.0  [1] (🧛🏻)
emoji-sequences.txt:1F9DB 1F3FC   ; Emoji_Modifier_Sequence   ; vampire: medium-light skin tone                                # 10.0  [1] (🧛🏼)
emoji-sequences.txt:1F9DB 1F3FD   ; Emoji_Modifier_Sequence   ; vampire: medium skin tone                                      # 10.0  [1] (🧛🏽)
emoji-sequences.txt:1F9DB 1F3FE   ; Emoji_Modifier_Sequence   ; vampire: medium-dark skin tone                                 # 10.0  [1] (🧛🏾)
emoji-sequences.txt:1F9DB 1F3FF   ; Emoji_Modifier_Sequence   ; vampire: dark skin tone                                        # 10.0  [1] (🧛🏿)
emoji-sequences.txt:1F9DC 1F3FB   ; Emoji_Modifier_Sequence   ; merperson: light skin tone                                     # 10.0  [1] (🧜🏻)
emoji-sequences.txt:1F9DC 1F3FC   ; Emoji_Modifier_Sequence   ; merperson: medium-light skin tone                              # 10.0  [1] (🧜🏼)
emoji-sequences.txt:1F9DC 1F3FD   ; Emoji_Modifier_Sequence   ; merperson: medium skin tone                                    # 10.0  [1] (🧜🏽)
emoji-sequences.txt:1F9DC 1F3FE   ; Emoji_Modifier_Sequence   ; merperson: medium-dark skin tone                               # 10.0  [1] (🧜🏾)
emoji-sequences.txt:1F9DC 1F3FF   ; Emoji_Modifier_Sequence   ; merperson: dark skin tone                                      # 10.0  [1] (🧜🏿)
emoji-sequences.txt:1F9DD 1F3FB   ; Emoji_Modifier_Sequence   ; elf: light skin tone                                           # 10.0  [1] (🧝🏻)
emoji-sequences.txt:1F9DD 1F3FC   ; Emoji_Modifier_Sequence   ; elf: medium-light skin tone                                    # 10.0  [1] (🧝🏼)
emoji-sequences.txt:1F9DD 1F3FD   ; Emoji_Modifier_Sequence   ; elf: medium skin tone                                          # 10.0  [1] (🧝🏽)
emoji-sequences.txt:1F9DD 1F3FE   ; Emoji_Modifier_Sequence   ; elf: medium-dark skin tone                                     # 10.0  [1] (🧝🏾)
emoji-sequences.txt:1F9DD 1F3FF   ; Emoji_Modifier_Sequence   ; elf: dark skin tone                                            # 10.0  [1] (🧝🏿)
